Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
ADMC_ADNI_BakerLipidomics,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Baker Heart Targeted Lipidomics (ADMC_ADNI_BakerLipidomics) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn24989039,NA,string,ADKP
ADMC_ADNI_NightingaleNMR,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative Nightingale NMR (ADMC_ADNI_NightingaleNMR) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23557831,NA,string,ADKP
ADMC_ADNI_UHawaiiGutMetabolites,The Alzheimer's Disease Metabolomics Consortium Alzheimer's Disease Neuroimaging Initiative University of Hawaii Gut Metabolites (ADMC_ADNI_UHawaiiGutMetabolites) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn31513378,NA,string,ADKP
ADMC_UPenn,Metabolomics on AD,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9705311,NA,string,ADKP
AD_ADRD_Exposome,The Exposome-wide association study of AD/ADRD across the UK Biobank and Framingham Heart Study cohorts (AD_ADRD_Exposome),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26438246,NA,string,ADKP
AMP-AD_DiverseCohorts,The Accelerating Medicines Partnership Alzheimer's Disease Diverse Cohorts Study (AMP-AD_DiverseCohorts),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn51732482,NA,string,ADKP
APOE-TR,APOE Targeted Replacement,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8391648,NA,string,ADKP
APOE4_Myelination,The APOE4 Myelination (APOE4_Myelination) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn44424170,NA,string,ADKP
APOEPSC,The impact of APOE on aging-related conditions in human iPSC models (APOEPSC) study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25914209,NA,string,ADKP
ATP6V1A_kd,The ATP6V1A knockdown in hIPSC neurons (ATP6V1A_kd) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn52201354,NA,string,ADKP
Abeta_microglia,The differential transcriptomic responses of microglia to Ab peptide aggregates (Abeta_microglia) study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn24828089,NA,string,ADKP
Aging-PheWAS,Characterization of gene associations with aging-related traits with a genetically-predicted transcriptome-wide association study (TWAS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26720399,NA,string,ADKP
BCM-DMAS,Baylor Drosophila Model Aging Study (BCM-DMAS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn34767207,NA,string,ADKP
BEAM,Brain Energy for Amyloid transformation In Alzheimer's disease (BEAM) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn51104591,NA,string,ADKP
BLSA,Baltimore Longitudinal Study on Aging,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3606086,NA,string,ADKP
BPSD_AD_AnimalStudy_NU,Molecular mechanisms underlying behavioral and psychological symptoms in Alzheimer's disease (BPSD_AD_AnimalStudy_NU),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26234114,NA,string,ADKP
Banner,Banner Sun Health Research Institute's Brain and Body Donation Program,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7170616,NA,string,ADKP
BipSeq,RNA Sequencing of the limbic system in bipolar disorder,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5844980,NA,string,ADKP
BrainGVEX,Genetic Variants effect on Brain Gene eXpression,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590909,NA,string,ADKP
BroadAstrom109,Primary astrocytes and iPSC derived neurons,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7204912,NA,string,ADKP
BroadMDMi,A novel human in vitro microglia-like model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3607404,NA,string,ADKP
BroadiPSC,iPSC derived forebrain neurons,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3607401,NA,string,ADKP
CHDWB,"Clinical, metabolomic, and gene expression data of controls",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8272982,NA,string,ADKP
CMC,CommonMind Consortium,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn2759792/wiki/69613,NA,string,ADKP
CMC-PEC,Data from the CMC cohorts funded through PsychENCODE grants,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21961394,NA,string,ADKP
CMC_HBCC,The CommonMind Consortium Human Brain Collection Core Cohort,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590897,NA,string,ADKP
DiCAD,"Interdisciplinary Research to Understand the Interplay of Diabetes, Cerebrovascular disease and Alzheimer's disease",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9944859,NA,string,ADKP
DukeAD_PTSD,"The Duke Study of Shared Genetic, Epigenetic, and Transcriptomic Profiles Between AD and PTSD study",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23585917,NA,string,ADKP
ELPSCRNA,Single cell transcriptomic analysis of PBMCs in Extreme Longevity,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26067509,NA,string,ADKP
EmoryDrosophilaTau,Emory Drosophila Tau model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7274101,NA,string,ADKP
Emory_ADRC,Emory Alzheimer's Disease Research Center,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3218563,NA,string,ADKP
EpiGABA,GABA Epigenomes in Autism,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4588488,NA,string,ADKP
EpiMap,Epigenetic Map in neuropsychiatric control tissue,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4566010,NA,string,ADKP
FreshMicro,The Fresh Microglia Regulome Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25671134,NA,string,ADKP
HBI_scRNAseq,The human brain immunity scRNAseq study (HBI_scRNAseq),NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn24168322,NA,string,ADKP
HBTRC,Harvard Brain Tissue Resource Center,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3159435,NA,string,ADKP
HDAC1-cKOBrain,HDAC1 expression in the brain,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5987310,NA,string,ADKP
HumanFC,Decoding schizophrenia-From GWAS to functional regulatory variants,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5321694,NA,string,ADKP
IL10_APPmouse,IL10 overexpression in APP mouse,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157175,NA,string,ADKP
IntegrativePathwayAnalysis,The Integrative Metabolomics-Genomics Pathway Analysis Study (IntegrativePathwayAnalysis),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25474536,NA,string,ADKP
Jax.IU.Pitt.Proteomics_Metabolomics_Pilot,Jax.IU.Pitt.Proteomics_Metabolomics_Pilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22313528,NA,string,ADKP
Jax.IU.Pitt_APOE4.Trem2.R47H,The Jax.IU.Pitt_APOE4.Trem2.R47H Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn17095980,NA,string,ADKP
Jax.IU.Pitt_APP.PS1,Jax.IU.Pitt_APP.PS1 study -- previously referred to as MODEL-AD_APPPS1 and JAX_APPPS1,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9850001,NA,string,ADKP
Jax.IU.Pitt_Levetiracetam-5XFAD,The Jax.IU.Pitt_Levetiracetam-5XFAD Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn21784897,NA,string,ADKP
Jax.IU.Pitt_MicrobiomePilot,Jax.IU.Pitt_MicrobiomePilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22341543,NA,string,ADKP
Jax.IU.Pitt_PrimaryScreen,Primary screen data from the Jax.IU.Pitt MODEL-AD grant,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595258,NA,string,ADKP
Jax.IU.Pitt_StrainValidation,Strain validation data from the Jax.IU.Pitt MODEL-AD grant,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595255,NA,string,ADKP
Jax.IU.Pitt_Verubecestat_5XFAD,Data from 5XFAD mice treated with verubecestat from the Jax.IU.Pitt MODEL-AD grant,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn21863375,NA,string,ADKP
LBP,The Living Brain Project Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26337520,NA,string,ADKP
LLFS,The Long Life Family Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26229161,NA,string,ADKP
LillyMicroglia,Microglia gene profiling in the rTg4510 tauopathy mouse model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5478323,NA,string,ADKP
MC-BrAD,Mayo Clinic Brain Molecular Signatures of Resilience to Alzheimer's Disease,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn51298412,NA,string,ADKP
MC-CAA,RNAseq data on cerebral amyloid angiopathy (CAA) pathology,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9779506,NA,string,ADKP
MCMPS,The Mayo Clinic Microglial Profiling Study (MCMPS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25879171,NA,string,ADKP
MC_snRNA,The Mayo Clinic Single Nucleus RNAseq Study (MC_snRNA),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn31511672,NA,string,ADKP
MEF2_Resilience,The MEF2 Neurodegenerative Resilience Study (MEF2_Resilience),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25945732,NA,string,ADKP
MIT_ROSMAP_Multiomics,The MIT ROSMAP Single-Nucleus Multiomics Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn52293417,NA,string,ADKP
MOA-PAD,Multi-omic analyses of psychosis in Alzheimer's disease,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23538600,NA,string,ADKP
MODEL-AD_5XFAD,MODEL-AD 5XFAD Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn16798076,NA,string,ADKP
MODEL-AD_APOE4_KI,MODEL-AD APOE4 KI Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634456,NA,string,ADKP
MODEL-AD_APOE4_Trem2,MODEL-AD APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn17095980,NA,string,ADKP
MODEL-AD_Abca7_APOE4_Trem2,MODEL-AD Abca7*A1527G/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075750,NA,string,ADKP
MODEL-AD_Ceacam_KO_APOE4_Trem2,MODEL-AD Ceacam1 KO/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075764,NA,string,ADKP
MODEL-AD_Harmonization,MODEL-AD Harmonization Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25882591,NA,string,ADKP
MODEL-AD_Il1rapKO_APOE4_Trem2_exon2KO,"MODEL-AD Il1rap KO/APOE4/Trem2*R47H, exon 2 KO Study",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075802,NA,string,ADKP
MODEL-AD_Mthfr_APOE4_Trem2,MODEL-AD Mthfr*C677T/APOE4/Trem2*R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075850,NA,string,ADKP
MODEL-AD_Rat_F344,MODEL-AD Rat F344 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn20730014,NA,string,ADKP
MODEL-AD_Trem2_R47H,MODEL-AD Trem2 R47H Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634477,NA,string,ADKP
MODEL-AD_hAbeta_KI,MODEL-AD Humanized Abeta Knock-in Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18634479,NA,string,ADKP
MODEL-AD_hCR1_KI_on_APOE4_Trem2,MODEL-AD hCR1 KI on APOE4/Trem2 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21075863,NA,string,ADKP
MODEL-AD_hTau_Trem2,MODEL-AD hTau Trem2 Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn18693211,NA,string,ADKP
MRGWAS,Mendelian randomization of human longevity using genetically-predicted exposures from the GWAS catalog,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26066886,NA,string,ADKP
MSBB,Mount Sinai Brain Bank AD Cohort,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3159438,NA,string,ADKP
MSBB_ArrayTissuePanel,Expression array and coexpression networks on 19 brain regions,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157699,NA,string,ADKP
MSDM,Mount Sinai Drosophila Melanogaster,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4587607,NA,string,ADKP
MSMM,Mount Sinai Mouse Models,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5477220,NA,string,ADKP
MSSMiPSC,iPSC derived hiPSC forebrain neurons and NPCs,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5986884,NA,string,ADKP
MayoHippocampus,The Mayo Clinic Hippocampal Vulnerability Study (MayoHippocampus),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn32141161,NA,string,ADKP
MayoLOADGWAS,Mayo Clinic LOAD genome-wide association and brain gene expression studies,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn2910256,NA,string,ADKP
MayoPilotRNAseq,RNAseq on a subset of MayoEGWAS,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157268,NA,string,ADKP
MayoRNAseq,Mayo RNAseq study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5550404,NA,string,ADKP
MayoeGWAS,Gene expression from the Illumina Whole Genome DASL array,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157225,NA,string,ADKP
MindPhenomeKB,A Phenotypic Knowledge Base to Study Genetic Links Between AD and Neuropsychatric Symptoms (MindPhenomeKB),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25326405,NA,string,ADKP
MouseHAL,Chronic Haloperidol Effects on Gene Expression and Chromatin Accessibility in Mouse Brain,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590850,NA,string,ADKP
NAPS,The Neurodegeneration-Associated Psychiatric Syndromes (NAPS) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23633760,NA,string,ADKP
NHP-Chimpanzee,Chimpanzee data,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7067053,NA,string,ADKP
NHP-Macaque,A transcription atlas of the rhesus monkey brain,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
NPS-AD,The Molecular Mechanisms of Neuropsychiatric Symptoms in Alzheimer Disease (NPS-AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51197189,NA,string,ADKP
OFMM,NA,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
Organoid_scRNAseq,The AD cerebral organoid single-cell transcriptome study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26865580,NA,string,ADKP
Plxnb1_KO,The Plxnb1 Knockout Study (Plxnb1_KO),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26453791,NA,string,ADKP
RADEL,The Resilience to Alzheimer Disease in Humans with Exceptional Longevity (RADEL) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23540132,NA,string,ADKP
RNAseq_Harmonization,The RNAseq Harmonization Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn21241740,NA,string,ADKP
ROSMAP,Religious Orders Study and Memory and Aging Project,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3219045,NA,string,ADKP
ROSMAP-IA,The ROSMAP iPSC-derived Astrocyte Study (ROSMAP-IA),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn52383678,NA,string,ADKP
ROSMAP-IN,The ROSMAP-iPSC derived induced neurons (ROSMAP-IN) genomic data study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23564891,NA,string,ADKP
ROSMAP_CellTypeSpecificHA,The ROSMAP Cell-type Specific Histone Acetylation Study (ROSMAP_CellTypeSpecificHA),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25832093,NA,string,ADKP
ROSMAP_CognitiveResilience,The ROSMAP_CognitiveResilience study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22695346,NA,string,ADKP
ROSMAP_Lipidomics_Emory,ROSMAP Lipidomics generated by Emory,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26452612,NA,string,ADKP
ROSMAP_MammillaryBody,The ROSMAP Mammillary Body Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50670858,NA,string,ADKP
ROSMAP_bsSeq,Targeted BS-seq on 150 randomly selected ROSMAP samples (ROSMAP_bsSeq),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25832093,NA,string,ADKP
ROSMAP_nucleus_hashing,The ROSMAP nucleus hashing study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22391827,NA,string,ADKP
RR_APOE4,The ROSMAP Resilience APOE4 study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23633750,NA,string,ADKP
SEA-AD,The Seattle Alzheimer's Disease Brain Cell Atlas (SEA-AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26223298,NA,string,ADKP
SMIB-AD,The Somatic Mutations in Brains of Alzheimer's Disease (SMIB-AD) Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22278344,NA,string,ADKP
SUNYStrokeModel,Mouse behavioral assays on stroke and AD models,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7181520,NA,string,ADKP
SV_xQTL,The Structural Variation xQTL Study (SV_xQTL),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26865111,NA,string,ADKP
SWS,Arivale-Providence Feasibility Study of Scientific Wellness (Scientific Wellness Study - SWS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25807950,NA,string,ADKP
SY5Y_Emory,APP/TAU transduced SY5Y cells,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn8513284,NA,string,ADKP
SY5Y_REST,LiCl treated SH-SY5Y cells,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5987497,NA,string,ADKP
StJude_BannerSun,The collaborative Banner Sun - St. Jude Alzheimer's disease and related dementias (StJude_BannerSun) study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21592732,NA,string,ADKP
SuperAgerEpiMap,The Super Ager EpiMap Study (SuperAgerEpiMap),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25672226,NA,string,ADKP
TASTPM,A double transgenic mouse model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5714307,NA,string,ADKP
TAUAPPms,Tau and APP mouse model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3157182,NA,string,ADKP
TS-RNAseq,Transcriptional Analysis of the Human Striatum in Tourette Syndrome,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn3158906,NA,string,ADKP
