specimenID,libraryID,assay,platform,RIN,referenceSet,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,DV200,,,,,,,,,,,,,,,,,
3920lh,3920lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,44817242,,,,,,,,,,,,,,,,,,
3921lh,3921lh,rnaSeq,NextSeq500,9.2,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,49515840,,,,,,,,,,,,,,,,,,
3922lh,3922lh,rnaSeq,NextSeq500,9.6,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,42308910,,,,,,,,,,,,,,,,,,
4034lh,4034lh,rnaSeq,NextSeq500,7.7,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,52329620,,,,,,,,,,,,,,,,,,
4035lh,4035lh,rnaSeq,NextSeq500,6,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26892210,,,,,,,,,,,,,,,,,,
4036lh,4036lh,rnaSeq,NextSeq500,9.6,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,12939092,,,,,,,,,,,,,,,,,,
4037lh,4037lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,41749790,,,,,,,,,,,,,,,,,,
4038lh,4038lh,rnaSeq,NextSeq500,9.3,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,42308868,,,,,,,,,,,,,,,,,,
4039lh,4039lh,rnaSeq,NextSeq500,9,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,32573564,,,,,,,,,,,,,,,,,,
4040lh,4040lh,rnaSeq,NextSeq500,9,GRCm38,,09.03.20,09.03.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,32678670,,,,,,,,,,,,,,,,,,
3778lc,3778lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,12343238,,,,,,,,,,,,,,,,,,
3779lc,3779lc,rnaSeq,NextSeq500,9.1,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,28443668,,,,,,,,,,,,,,,,,,
3786lc,3786lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,10065256,,,,,,,,,,,,,,,,,,
3787lc,3787lc,rnaSeq,NextSeq500,9.4,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,29034412,,,,,,,,,,,,,,,,,,
3788lc,3788lc,rnaSeq,NextSeq500,9.4,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,20844450,,,,,,,,,,,,,,,,,,
3791lc,3791lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26595548,,,,,,,,,,,,,,,,,,
3792lc,3792lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,27837912,,,,,,,,,,,,,,,,,,
3794lc,3794lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,27691162,,,,,,,,,,,,,,,,,,
3796lc,3796lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26751874,,,,,,,,,,,,,,,,,,
3800lc,3800lc,rnaSeq,NextSeq500,9.7,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,38149210,,,,,,,,,,,,,,,,,,
3801lc,3801lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,38338312,,,,,,,,,,,,,,,,,,
3863lc,3863lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26437430,,,,,,,,,,,,,,,,,,
3864lc,3864lc,rnaSeq,NextSeq500,9.1,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"33,531,304",,,,,,,,,,,,,,,,,,
3865lc,3865lc,rnaSeq,NextSeq500,9.2,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"59,768,004",,,,,,,,,,,,,,,,,,
3866lc,3866lc,rnaSeq,NextSeq500,9.7,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"42,805,626",,,,,,,,,,,,,,,,,,
3867lc,3867lc,rnaSeq,NextSeq500,9.2,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"35,119,258",,,,,,,,,,,,,,,,,,
3868lc,3868lc,rnaSeq,NextSeq500,10,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"22,172,742",,,,,,,,,,,,,,,,,,
3869lc,3869lc,rnaSeq,NextSeq500,10,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"46,719,398",,,,,,,,,,,,,,,,,,
3870lc,3870lc,rnaSeq,NextSeq500,9.5,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"25,712,836",,,,,,,,,,,,,,,,,,
3871lc,3871lc,rnaSeq,NextSeq500,9.4,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"44,609,920",,,,,,,,,,,,,,,,,,
3875lc,3875lc,rnaSeq,NextSeq500,9.9,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"50,347,352",,,,,,,,,,,,,,,,,,
3876lc,3876lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"44,275,474",,,,,,,,,,,,,,,,,,
3878lc,3878lc,rnaSeq,NextSeq500,9.7,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"19,761,980",,,,,,,,,,,,,,,,,,
3885lc,3885lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"32,285,488",,,,,,,,,,,,,,,,,,
3887lc,3887lc,rnaSeq,NextSeq500,9.6,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"42,749,032",,,,,,,,,,,,,,,,,,
3888lc,3888lc,rnaSeq,NextSeq500,9.4,GRCm38,,09.25.19,09.25.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"52,784,318",,,,,,,,,,,,,,,,,,
3778lh,3778lh,rnaSeq,NextSeq500,9.9,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"32,071,812",,,,,,,,,,,,,,,,,,
3779lh,3779lh,rnaSeq,NextSeq500,9.8,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"31,065,808",,,,,,,,,,,,,,,,,,
3786lh,3786lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"27,994,090",,,,,,,,,,,,,,,,,,
3787lh,3787lh,rnaSeq,NextSeq500,9.7,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"34,025,288",,,,,,,,,,,,,,,,,,
3788lh,3788lh,rnaSeq,NextSeq500,9.9,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"35,155,236",,,,,,,,,,,,,,,,,,
3791lh,3791lh,rnaSeq,NextSeq500,9.9,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"32,526,652",,,,,,,,,,,,,,,,,,
3792lh,3792lh,rnaSeq,NextSeq500,9.9,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"35,369,950",,,,,,,,,,,,,,,,,,
3794lh,3794lh,rnaSeq,NextSeq500,9.7,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"38,060,844",,,,,,,,,,,,,,,,,,
3796lh,3796lh,rnaSeq,NextSeq500,9.7,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"36,132,714",,,,,,,,,,,,,,,,,,
3800lh,3800lh,rnaSeq,NextSeq500,9.5,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"24,267,386",,,,,,,,,,,,,,,,,,
3801lh,3801lh,rnaSeq,NextSeq500,9.7,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"24,320,062",,,,,,,,,,,,,,,,,,
3863lh,3863lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"28,085,400",,,,,,,,,,,,,,,,,,
3864lh,3864lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"30,284,576",,,,,,,,,,,,,,,,,,
3865lh,3865lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"25,017,740",,,,,,,,,,,,,,,,,,
3866lh,3866lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"32,695,956",,,,,,,,,,,,,,,,,,
3867lh,3867lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"34,448,796",,,,,,,,,,,,,,,,,,
3868lh,3868lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"30,540,798",,,,,,,,,,,,,,,,,,
3869lh,3869lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"38,498,708",,,,,,,,,,,,,,,,,,
3870lh,3870lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"21,716,122",,,,,,,,,,,,,,,,,,
3871lh,3871lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"37,972,794",,,,,,,,,,,,,,,,,,
3875lh,3875lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"34,910,748",,,,,,,,,,,,,,,,,,
3876lh,3876lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"35,152,494",,,,,,,,,,,,,,,,,,
3878lh,3878lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"37,283,960",,,,,,,,,,,,,,,,,,
3885lh,3885lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"30,886,274",,,,,,,,,,,,,,,,,,
3887lh,3887lh,rnaSeq,NextSeq500,9.9,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,"24,984,750",,,,,,,,,,,,,,,,,,
3888lh,3888lh,rnaSeq,NextSeq500,10,GRCm38,,09.16.19,09.16.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,36064024,,,,,,,,,,,,,,,,,,
5008lh,5008lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,27966936,,,,,,,,,,,,,,,,,,
5009lh,5009lh,rnaSeq,NextSeq500,8.7,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,39965684,,,,,,,,,,,,,,,,,,
5010lh,5010lh,rnaSeq,NextSeq500,9.6,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,36170822,,,,,,,,,,,,,,,,,,
5011lh,5011lh,rnaSeq,NextSeq500,9.3,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,41603250,,,,,,,,,,,,,,,,,,
5012lh,5012lh,rnaSeq,NextSeq500,9.6,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,35109502,,,,,,,,,,,,,,,,,,
5013lh,5013lh,rnaSeq,NextSeq500,8.9,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,25407808,,,,,,,,,,,,,,,,,,
5014lh,5014lh,rnaSeq,NextSeq500,9.4,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,44947290,,,,,,,,,,,,,,,,,,
5015lh,5015lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,49422352,,,,,,,,,,,,,,,,,,
5024lh,5024lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,40332386,,,,,,,,,,,,,,,,,,
5025lh,5025lh,rnaSeq,NextSeq500,9.8,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,44778266,,,,,,,,,,,,,,,,,,
5026lh,5026lh,rnaSeq,NextSeq500,8.4,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,42966942,,,,,,,,,,,,,,,,,,
5028lh,5028lh,rnaSeq,NextSeq500,9.1,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,29990742,,,,,,,,,,,,,,,,,,
5029lh,5029lh,rnaSeq,NextSeq500,9.1,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,32420138,,,,,,,,,,,,,,,,,,
5030lh,5030lh,rnaSeq,NextSeq500,9.4,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,41860072,,,,,,,,,,,,,,,,,,
5057lh,5057lh,rnaSeq,NextSeq500,9.6,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,42493326,,,,,,,,,,,,,,,,,,
5058lh,5058lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,32881106,,,,,,,,,,,,,,,,,,
5059lh,5059lh,rnaSeq,NextSeq500,8,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,24148320,,,,,,,,,,,,,,,,,,
5060lh,5060lh,rnaSeq,NextSeq500,9.6,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,31348526,,,,,,,,,,,,,,,,,,
5062lh,5062lh,rnaSeq,NextSeq500,9.7,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,24578362,,,,,,,,,,,,,,,,,,
5111lh,5111lh,rnaSeq,NextSeq500,9.6,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,27477794,,,,,,,,,,,,,,,,,,
5112lh,5112lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,39814316,,,,,,,,,,,,,,,,,,
5113lh,5113lh,rnaSeq,NextSeq500,9.7,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26416038,,,,,,,,,,,,,,,,,,
5114lh,5114lh,rnaSeq,NextSeq500,8.1,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26592114,,,,,,,,,,,,,,,,,,
5115lh,5115lh,rnaSeq,NextSeq500,6.8,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,23398466,,,,,,,,,,,,,,,,,,
5116lh,5116lh,rnaSeq,NextSeq500,9.8,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,30104478,,,,,,,,,,,,,,,,,,
5117lh,5117lh,rnaSeq,NextSeq500,9.7,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,30831298,,,,,,,,,,,,,,,,,,
5118lh,5118lh,rnaSeq,NextSeq500,9.2,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,30931054,,,,,,,,,,,,,,,,,,
5119lh,5119lh,rnaSeq,NextSeq500,9.5,GRCm38,,10.05.20,10.05.20,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,28975906,,,,,,,,,,,,,,,,,,
4991lc,4991lc,rnaSeq,NextSeq500,10,GRCm38,,12.03.19,12.03.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,31772342,,,,,,,,,,,,,,,,,,
4992lc,4992lc,rnaSeq,NextSeq500,10,GRCm38,,12.03.19,12.03.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,31869746,,,,,,,,,,,,,,,,,,
4993lc,4993lc,rnaSeq,NextSeq500,10,GRCm38,,12.03.19,12.03.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,26630244,,,,,,,,,,,,,,,,,,
4994lc,4994lc,rnaSeq,NextSeq500,8.9,GRCm38,,12.03.19,12.03.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,39253760,,,,,,,,,,,,,,,,,,
5020lc,5020lc,rnaSeq,NextSeq500,9.8,GRCm38,,12.03.19,12.03.19,polyAselection,Smart-seq2,rnaSeq Illumina library version,FALSE,forward,R1:43 ; R2:43,pairedEnd,,34272668,,,,,,,,,,,,,,,,,,
