Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,11443,13244,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11442,13243,NA,B-876-20,I-433/434,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11483,13284,NA,B-879-20,I-441/442,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11629,13434,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11628,13433,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11627,13432,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11618,13423,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11636,13441,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11632,13437,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11624,13429,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11623,13428,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11620,13425,NA,B-914-20,I-468/469,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11509,13310,NA,B-882-20,I-448/449/450,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11507,13308,NA,B-882-20,I-448/449/450,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11505,13306,NA,B-882-20,I-448/449/450,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11473,13274,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11472,13273,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11471,13272,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11462,13263,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11482,13283,NA,B-879-20,I-441/442,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11470,13271,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11468,13269,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11467,13268,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11466,13267,NA,B-878-20,I-439/440,UCI_TMF,UCI_TMF,male,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
NA,11656,13461,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11655,13460,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11643,13448,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,female,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11414,13215,NA,B-871-20,246362 [B-3],UCI_TMF,UCI_TMF,female,Mouse,N2-N1,11/2/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11412,13213,NA,B-871-20,246362 [B-3],UCI_TMF,UCI_TMF,female,Mouse,N2-N1,11/2/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11651,13456,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11650,13455,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11648,13453,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11647,13452,NA,B-916-20,I-472/473,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11639,13444,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11637,13442,NA,B-915-20,I-470/471,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11614,13419,NA,B-913-20,I-464/465,UCI_TMF,UCI_TMF,male,Mouse,N1,11/9/20,4,months,NA,NA,7% standard,NA,NA,NA,NA,NA,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,NA
NA,11457,13258,NA,B-877-20,I-437/438,UCI_TMF,UCI_TMF,female,Mouse,F3,11/3/20,12,months,NA,NA,7% standard,NA,NA,NA,NA,NA,NA,Abca7-V1599M_homozygous,C57BL6J,NA,NA
